ลำดับ,เลขทะเบียนโรงงาน,FID,TSIC,รหัสประเภท,จำพวก,ปีที่ได้รับอนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,รหัสจังหวัด,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,ค่าอาคาร,ค่าที่ดิน,ค่าเครื่องจักร,เงินทุนหมุนเวียน,เงินทุนรวม,ชาย,หญิง,คนงานรวม,แรงม้ารวม,พื้นที่โรงงาน,พื้นที่อาคาร
3048,3-64(12)-10/51ชบ,1.02E+13,25910,6412,3,51,บริษัท สตีล พลัส แฟบบริเคชั่น จำกัด,บริษัท สตีล พลัส แฟบบริเคชั่น จำกัด,เกี่ยวกับผลิตภัณฑ์โลหะ ฯลฯ,166/14,8,-,-,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,038-100946,38000000,45599300,20000000,15000000,118599300,105,40,145,2436.07,15862,4920
3049,จ3-64(12)-12/65ชบ,2.02E+13,25910,6412,3,65,บริษัท คิงคองเมทัลชีท จำกัด,บริษัท คิงคองเมทัลชีท จำกัด,ตัด พับ ม้วนโลหะ เช่น แผ่นหลังคาเมทัลชีท,215/191,2,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,,1000000,75000,1000000,200000,2275000,7,3,10,76,19192,687
3050,จ3-64(12)-11/49ชบ,2.02E+13,25910,6412,3,49,บริษัท แอดวานซ์ เมทอล เซอร์วิส จำกัด,บริษัท แอดวานซ์ เมทอล เซอร์วิส จำกัด,ตัด พับ ปั๊ม โลหะทุกชนิด,78,11,,มอเตอร์เวย์,บางพระ,ศรีราชา,20,ชลบุรี,20110,033-006134-6/081-2397370,10237949,7424303,20962905,1000000,39625157,43,8,51,534.5,5580,1536
3051,จ3-64(12)-20/60ชบ,2.02E+13,25910,6412,3,60,บริษัท สยาม คอยล์ เซ็นเตอร์ จำกัด,บริษัท สยาม คอยล์ เซ็นเตอร์ จำกัด,ตัด พับ ม้วนโลหะทุกชนิด,209/246,3,,,บึง,ศรีราชา,20,ชลบุรี,20230,033-640070,19000000,11000000,15000000,5000000,50000000,15,5,20,498,8356,1665
3052,3-64(12)-2/57ชบ,1.02E+13,25910,6412,3,57,บริษัท ซีเอส เมทอล จำกัด,บริษัท ซีเอส เมทอล จำกัด,ตัดปั๊ม เหล็กแผ่น และเหล็กม้วน,99/6,10,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,038-338-378-9,60000000,0,30000000,50000000,140000000,87,13,100,2918.77,49600,20880
3053,จ3-64(13)-7/57ชบ,2.02E+13,25922,6413,3,57,บริษัท ยูเนี่ยน คอนสตรัคชั่นแอนด์ซัพพลาย จำกัด,บริษัท ยูเนี่ยน คอนสตรัคชั่นแอนด์ซัพพลาย จำกัด,งานเชื่อมเหล็ก โครงสร้าง ภาชนะแรงดัน ท่อ ประกอบติดตั้ง และงานเจาะ เจียน,389/66,4,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,038-766122,5000000,5000000,8000000,8000000,26000000,35,5,40,335.75,21256,1176
3054,จ3-64(13)-24/65ชบ,2.02E+13,25922,6413,3,65,บริษัท บีแอลเอ็มที จำกัด,บริษัท บีแอลเอ็มที จำกัด,กลึง ไส เจียน และเชื่อมโลหะทั่วไป,104/31,4,,,บึง,ศรีราชา,20,ชลบุรี,20230,,5000000,10000000,20000000,5000000,40000000,28,20,48,194.8,2624,2528
3055,3-64(13)-1/38ชบ,1.02E+13,25922,6413,3,38,บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน),บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน),ประกอบเชื่อมท่อโลหะและงานโลหะทั่วไป,153,3,-,สุขาภิบาล 6,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,038-317555,6000000,0,3000000,10000000,19000000,100,5,105,645.4,27280,1152
3056,จ3-64(13)-10/54ชบ,2.02E+13,25922,6413,3,54,บริษัท สยามโคชิ จำกัด,บริษัท สยามโคชิ จำกัด,กลึงโลหะทุกชนิด,148/9,4,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,,8500000,0,23500000,3000000,35000000,14,14,28,257.6,4,960
3057,จ3-64(13)-5/44ชบ,2.02E+13,25922,6413,3,44,พี.พี.วิศวกรรม,พี.พี.วิศวกรรม,ทำชิ้นส่วนอุปกรณ์เครื่องจักร,205/17,11,     -,    -,ทุ่งสุขลา,ศรีราชา,20,ชลบุรี,20230,    -,400000,3500000,3000000,1500000,8400000,13,0,13,225,2400,240
3058,จ3-64(13)-64/58ชบ,2.02E+13,25922,6413,3,58,บริษัท โทไค เวลดิ้ง ออโตเมชั่น (ไทยแลนด์) จำกัด,บริษัท โทไค เวลดิ้ง ออโตเมชั่น (ไทยแลนด์) จำกัด,กลึง เจาะ คว้าน กัด ไส เจียร์ และเชื่อมทั่วไปในชิ้นส่วนโลหะ รวมทั้งอุปกรณ์จับยึ(JIG),287/6,6,,ดอนนุ่น,บึง,ศรีราชา,20,ชลบุรี,20230,,1989000,0,45000000,15000000,61989000,9,1,10,149.66,975,975
3059,จ3-64(13)-5/46ชบ,2.02E+13,25922,6413,3,46,บริษัท ศรีสหะเวิร์คช็อป จำกัด,บริษัท ศรีสหะเวิร์คช็อป จำกัด,กลึงและเชื่อมโลหะทั่วไป,60/3,,,สุขุมวิท,ศรีราชา,ศรีราชา,20,ชลบุรี,20110,,0,0,1000000,500000,1500000,11,0,11,89,128,128
3060,จ3-64(13)-106/47ชบ,2.02E+13,25922,6413,3,47,บริษัท เอ-พรีซิชั่น จำกัด,บริษัท เอ-พรีซิชั่น จำกัด,ผลิตชิ้นส่วนเครื่องจักร และแม่พิมพ์โลหะ,17/42,3,,,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,,12000000,7000000,20000000,3000000,42000000,31,8,39,306,1060,635
3061,จ3-64(13)-39/48ชบ,2.02E+13,25922,6413,3,48,บริษัท สคิพ (1999) เอ็นจิเนียริ่ง จำกัด,บริษัท สคิพ (1999) เอ็นจิเนียริ่ง จำกัด,การกลึง เจาะ คว้าน กัด ไส เจียร หรือ เชื่อมโลหะทั่วไป,139/7,7,,,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,,6700000,5000000,8000000,2000000,21700000,26,0,26,291.7,10872,1036
3062,จ3-64(13)-6/46ชบ,2.02E+13,25922,6413,3,46,บริษัท ท็อป เวิร์ค เอ็นจิเนียริ่ง จำกัด,บริษัท ท็อป เวิร์ค เอ็นจิเนียริ่ง จำกัด,กลึง เชื่อม และทำชิ้นส่วนเครื่องจักร,88/15,7,,,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,0 3877 4835,0,0,0,1300000,1300000,10,0,10,115.5,0,0
3063,จ3-64(13)-21/64ชบ,2.02E+13,25922,6413,3,64,บริษัท จิน รัน นิว เอ็นเนอร์จี้ เทคโนโลยี จำกัด,บริษัท จิน รัน นิว เอ็นเนอร์จี้ เทคโนโลยี จำกัด,"กลึง กัด ไส เจียน และเชื่อมโลหะทั่วไป, ทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคารที่เกี่ยวกับเหล็ก เช่น โครงสร้างเหล็ก ",โฉนดที่ดินเลขที่ 61012,3,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,10000000,20000000,10000000,10000000,50000000,20,0,20,124,47030,26740
3064,จ3-64(13)-15/53ชบ,2.02E+13,25922,6413,3,53,ห้างหุ้นส่วนจำกัด ซี.เอ็ม.เซอร์วิสและวิศวกรรม,ห้างหุ้นส่วนจำกัด ซี.เอ็ม.เซอร์วิสและวิศวกรรม,"ทำผลิตภัณฑ์โลหะ เช่น ชั้นวางชิ้นส่วนรถยนต์,โครงสร้างเหล็ก,รถเข็น ฯลฯ",99/12,8,,,เขาคันทรง,ศรีราชา,20,ชลบุรี,20110,,8000000,1000000,5000000,2000000,16000000,8,1,9,293,,0
3065,จ3-64(13)-5/38ชบ,2.02E+13,25922,6413,3,38,บริษัท ประสิทธิ์ผลแมชชีนเนอรี่ จำกัด,บริษัท ประสิทธิ์ผลแมชชีนเนอรี่ จำกัด,กลึง เจาะ คว้าน กัด ไส เจียร หรือเชื่อมโลหะทั่วไป และประกอบโครงสร้างหลังคาเหล็ก,174/40,7,,สุขุมวิท,ทุ่งสุขลา,ศรีราชา,20,ชลบุรี,20230,"351,485,351,128",2000000,5000000,8000000,2000000,17000000,29,5,34,191.11,480,480
3066,จ3-64(13)-76/59ชบ,2.02E+13,25922,6413,3,59,บริษัท ตระการกิจ อินเตอร์เทค จำกัด,บริษัท ตระการกิจ อินเตอร์เทค จำกัด,ผลิตชิ้นส่วนอุปกรณ์จากโลหะ,106/45,4,,,บึง,ศรีราชา,20,ชลบุรี,20230,038-372240,4000000,12000000,6000000,2000000,24000000,36,0,36,289,3640,1172
3067,จ3-64(13)-16/65ชบ,2.02E+13,25922,6413,3,65,บริษัท ซัง มูน ดัง จำกัด,บริษัท ซัง มูน ดัง จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป และดัดแปลงชิ้นส่วนหรืออุปกรณ์ของเครื่องใช้ไฟฟ้า เช่น เครื่องล้างจาน,โฉนดที่ดินเลขที่ 75887,8,,,บึง,ศรีราชา,20,ชลบุรี,20230,,40000000,120000000,55000000,15000000,230000000,100,55,155,1128,31789,7040
3068,จ3-64(13)-32/59ชบ,2.02E+13,25922,6413,3,59,บริษัท อาร์.วี.เจ.เอ็นจิเนียริ่ง จำกัด,บริษัท อาร์.วี.เจ.เอ็นจิเนียริ่ง จำกัด,กลึง เชื่อม ประกอบโครงสร้างเหล็ก,77,5,,เขาขยาย,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,038-058755-8,30000000,6000000,0,20000000,56000000,90,30,120,455.5,17960,1600
3069,จ3-64(13)-82/47ชบ,2.02E+13,25922,6413,3,47,บริษัท ที เทค (ประเทศไทย) จำกัด,บริษัท ที เทค (ประเทศไทย) จำกัด,กลึง เชื่อม ไส เจาะ เจียรและแปรรูปโลหะเพื่อทำผลิตภัณฑ์ต่างๆ,66,1,,,บึง,ศรีราชา,20,ชลบุรี,20230,,1200000,1000000,1000000,50000,3250000,11,2,13,278.07,0,0
3070,จ3-64(13)-175/49ชบ,2.02E+13,25922,6413,3,49,บริษัท พีอาร์ พรีซิชั่น จำกัด,บริษัท พีอาร์ พรีซิชั่น จำกัด,โรงกลึงโลหะ,88/287,9,,,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,,1000000,3000000,7000000,1300000,12300000,13,1,14,86.46,1120,416
3071,จ3-64(13)-18/62ชบ,2.02E+13,25922,6413,3,62,บริษัท ศิลามาศ ทรานสปอร์ต จำกัด,บริษัท ศิลามาศ ทรานสปอร์ต จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป ผลิต ประกอบ ดัดแปลงรถบรรทุก รถพ่วง รวมถึงส่วนประกอบหรืออุปกรณ์ของผลิตภัณฑ์,555,10,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,80000000,300000,5000000,3000000,88300000,25,2,27,237.5,51323,10416
3072,จ3-64(13)-40/60ชบ,2.02E+13,25922,6413,3,60,บริษัท กาโตะ พรีซิชั่น จำกัด,บริษัท กาโตะ พรีซิชั่น จำกัด,กลึง เจาะ เชื่อมโลหะทั่วไป,999,7,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,038-057630-1,5000000,20000000,23000000,2000000,50000000,14,10,24,443,23608,632
3073,จ3-64(13)-37/61ชบ,2.02E+13,25922,6413,3,61,บริษัท ซูกะ สตีล (ไทยแลนด์) จำกัด,บริษัท ซูกะ สตีล (ไทยแลนด์) จำกัด,ตัด เจียร ไส ลบเหลี่ยม เจาะ เชื่อม โลหะ,153/5,2,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,,32500000,18000000,37574714,21710801,109785515,20,5,25,566.1,19648,3908
3074,จ3-64(13)-1/64ชบ,2.02E+13,25922,6413,3,64,บริษัท เอพี พร็อพเพอร์ตี้ แอนด์ เซอร์วิส จำกัด,บริษัท เอพี พร็อพเพอร์ตี้ แอนด์ เซอร์วิส จำกัด,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,เม.ย.-36,3,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,,3500000,0,500000,700000,4700000,10,3,13,82,2352,462
3075,จ3-64(13)-20/65ชบ,2.02E+13,25922,6413,3,65,บริษัท ซอง เทค จำกัด,บริษัท ซอง เทค จำกัด,กลึง เจาะ กัด ไส เจียน เชื่อมโลหะ และผลิต ซ่อมแซมโมลด์หรือแม่พิมพ์โลหะที่ใช้ในเครื่องฉีดพลาสติก,555/8,5,,,เขาคันทรง,ศรีราชา,20,ชลบุรี,20110,,16000000,4000000,10000000,500000,30500000,26,1,27,174.24,4800,1040
3076,3-64(13)-91/50ชบ,1.02E+13,25922,6413,3,50,บริษัท เอส.เอส.พี.บูรพา (2005) จำกัด,บริษัท เอส.เอส.พี.บูรพา (2005) จำกัด,กลึง เจาะ กัด ไส ชิ้นส่วนรถยนต์และอุปกรณ์เครื่องจักรทุกชนิด,60/52,7,-,-,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,038-065148/088-2095232,10000000,0,0,2000000,12000000,51,49,100,549.76,924,864
3077,จ3-64(13)-19/64ชบ,2.02E+13,25922,6413,3,64,บริษัท เอพี ยูไนเทค จำกัด,บริษัท เอพี ยูไนเทค จำกัด,กลึง เจาะ คว้าน กัดไส เจียน เชื่อม,60/41,7,,,สุรศักดิ์,ศรีราชา,20,ชลบุรี,20110,038-338822,0,0,10000000,2000000,12000000,20,4,24,104,2800,360
3078,จ3-64(13)-82/51ชบ,2.02E+13,25922,6413,3,51,บริษัท ซีซีพี ฮาร์ดแวร์ แอนด์ ซัพพลายส์ จำกัด,บริษัท ซีซีพี ฮาร์ดแวร์ แอนด์ ซัพพลายส์ จำกัด,กลึง เจาะ คว้าน กัด ไสหรือเชื่อมโลหะทั่วไป,224/12,2,-,-,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,038-345160-1,6500000,2000000,4500000,1000000,14000000,17,4,21,241.75,4800,600
3079,จ3-64(13)-18/63ชบ,2.02E+13,25922,6413,3,63,บริษัท ไทย มัทซูอูระ จำกัด,บริษัท ไทย มัทซูอูระ จำกัด,กลึง ตัด เชื่อมโลหะ,215/52,2,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,096-8604898,0,0,10000000,2000000,12000000,11,5,16,129.3,1600,560
3080,จ3-64(13)-5/62ชบ,2.02E+13,25922,6413,3,62,บริษัท เค ยู เทค จำกัด,บริษัท เค ยู เทค จำกัด,การกลึง เจาะ คว้าน กัด ไส เจียร หรือเชื่อมโลหะทั่วไป ที่ประกอบกิจการเกี่ยวกับอุตสาหกรรมบริการ,516/5,6,,,เขาคันทรง,ศรีราชา,20,ชลบุรี,20110,038-067455,0,170500,2000000,4000000,6170500,28,1,29,400,3928,756
3081,จ3-64(13)-131/48ชบ,2.02E+13,25922,6413,3,48,บริษัท ชลบุรี ฟอร์คลิฟท์ เอเชีย จำกัด,บริษัท ชลบุรี ฟอร์คลิฟท์ เอเชีย จำกัด,ผลิตผลิตภัณฑ์โลหะ,135/7,5,-,-,หนองขาม,ศรีราชา,20,ชลบุรี,20230,038-060057,20000000,5000000,4000000,1000000,30000000,20,0,20,363,10224,1584
3082,จ3-64(13)-12/67ชบ,2.02E+13,25922,6413,3,67,บริษัท โทโค เวลดิ้ง ออโตเมชั่น (ไทยแลนด์) จำกัด,บริษัท โทโค เวลดิ้ง ออโตเมชั่น (ไทยแลนด์) จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน และเชื่อมทั่วไปในชิ้นส่วนโลหะ รวมทั้งอุปกรณ์จับยึด (Jig),โฉนดที่ดินเลขที่ 34976,2,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,6000000,100000,45000000,15000000,66100000,8,2,10,149.66,2332,810
3083,จ3-64(13)-17/64ชบ,2.02E+13,25922,6413,3,64,บริษัท ศิระอรโลหะการ จำกัด,บริษัท ศิระอรโลหะการ จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,โฉนดที่ดินเลขที่ 78192,8,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,,10000000,5000000,4000000,1000000,20000000,8,0,8,142.5,1878,761
3084,จ3-64(13)-40/66ชบ,2.02E+13,25922,6413,3,66,บริษัท ดีเค พรีซิชั่น โมลด์ (ประเทศไทย) จำกัด,บริษัท ดีเค พรีซิชั่น โมลด์ (ประเทศไทย) จำกัด,กลึง เจาะ ไส เจียนโลหะ และผลิตแม่พิมพ์โลหะ,44/2,7,,,เขาคันทรง,ศรีราชา,20,ชลบุรี,20110,085-5180666,0,996000,3000000,2000000,5996000,3,3,6,121,634,634
3085,จ3-64(13)-8/60ชบ,2.02E+13,25922,6413,3,60,บริษัท ไอโอ้ เทค (ไทยแลนด์) จำกัด,บริษัท ไอโอ้ เทค (ไทยแลนด์) จำกัด,กลึงชิ้นส่วนเครื่องจักร,287/10,6,,,บึง,ศรีราชา,20,ชลบุรี,20230,038-119281,50000,50000,8000000,500000,8600000,0,3,3,195.3,716,716
3086,จ3-64(13)-328/55ชบ,2.02E+13,25922,6413,3,55,บริษัท เอ็ม ดี เอส เทคโนโลยี จำกัด,บริษัท เอ็ม ดี เอส เทคโนโลยี จำกัด,ทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะ กลึง เจาะ คว้าน กัด ไส เจียร เชื่อม ตัด พับ ม้วนโลหะ,177/18,5,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,8000000,3000000,220000000,6000000,237000000,28,5,33,261.5,1600,640
3087,จ3-64(13)-10/62ชบ,2.02E+13,25922,6413,3,62,บริษัท ทากามัตสึ เอ็น พี เอ็ม (ประเทศไทย) จำกัด,บริษัท ทากามัตสึ เอ็น พี เอ็ม (ประเทศไทย) จำกัด,รับกลึง เชื่อม อ็อกโลหะทุกชนิด ทุกประเภท,623,2,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,038-110361-3,2000000,0,28000000,5000000,35000000,21,10,31,479.53,20777,2196
3088,จ3-64(13)-41/64ชบ,2.02E+13,25922,6413,3,64,บริษัท ปิ่นทอง พรีซิชั่น จำกัด,บริษัท ปิ่นทอง พรีซิชั่น จำกัด,กลึง กัด ไส เจียน เชื่อมโลหะ และผลิตชิ้นงานโลหะที่ใช้เป็นอุปกรณ์จับยึดชิ้นงาน,889,11,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,096-9978964,10000000,8400000,8000000,2000000,28400000,10,3,13,159,2800,960
3089,จ3-64(13)-28/64ชบ,2.02E+13,25922,6413,3,64,บริษัท เอ นิว เอ็นจิเนียริ่ง จำกัด,บริษัท เอ นิว เอ็นจิเนียริ่ง จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป และทำส่วนประกอบสำหรับใช้ในการก่อส้างอาคาร,129/14,11,,,บางพระ,ศรีราชา,20,ชลบุรี,20110,033-046051-2,7000000,3000000,5000000,500000,15500000,10,6,16,285.2,5884,1000
3090,จ3-64(13)-162/48ชบ,2.02E+13,25922,6413,3,48,บริษัท สกุลเปี่ยมโลหะกิจ จำกัด,บริษัท สกุลเปี่ยมโลหะกิจ จำกัด,กลึง เชื่อม ตัด พับ โลหะ,167/5,8,,สาย 331,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,038-345728,22000000,12000000,15000000,13000000,62000000,44,1,45,240.5,12400,1128
3091,จ3-64(13)-20/62ชบ,2.02E+13,25922,6413,3,62,บริษัท อินนิเชี่ยล-ดี เอ็นจิเนียริ่ง จำกัด,บริษัท อินนิเชี่ยล-ดี เอ็นจิเนียริ่ง จำกัด,การกลึง เจาะ คว้าน กัด ไส เจียน หรื่อเชื่อมโลหะทั่วไป,,7,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,089-8834550,11000000,9000000,10000000,10000000,40000000,8,1,9,82.25,3900,1000
3092,จ3-64(13)-1/45ชบ,2.02E+13,25922,6413,3,45,บริษัท อาร์เค โฮลดิ้ง (ประเทศไทย) จำกัด,บริษัท อาร์เค โฮลดิ้ง (ประเทศไทย) จำกัด,กลึง เชื่อมโลหะทั่วไป,111/2,3,     -,     -,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,     -,5400000,0,1200000,1000000,7600000,20,0,20,141,14440,1440
3093,จ3-64(13)-6/61ชบ,2.02E+13,25922,6413,3,61,บริษัท แนค กรุ๊ป จำกัด,บริษัท แนค กรุ๊ป จำกัด,กลึง ตัด เชื่อมโลหะทั่วไป,382/19,2,,,เขาคันทรง,ศรีราชา,20,ชลบุรี,20110,,29000000,6000000,3000000,5000000,43000000,14,0,14,88.38,7619,2370
3094,จ3-64(13)-76/50ชบ,2.02E+13,25922,6413,3,50,ห้างหุ้นส่วนจำกัด เอส แอนด์ ไอ มารีน เซอร์วิส,ห้างหุ้นส่วนจำกัด เอส แอนด์ ไอ มารีน เซอร์วิส,กลึง เจาะ คว้าน เจียร และเชื่อมโลหะทั่วไป ,14,1,อ่าวอุดม,สุขุมวิท,ทุ่งสุขลา,ศรีราชา,20,ชลบุรี,20230,087-5025689,300000,400000,500000,100000,1300000,15,0,15,187,2164,510
3095,จ3-64(13)-54/61ชบ,2.02E+13,25922,6413,3,61,บริษัท ภูศรี พรีซีชั่น จำกัด,บริษัท ภูศรี พรีซีชั่น จำกัด,"กลึง เจาะ คว้าน กัด ไส เจียรไน หรือเชื่อมโลหะทั่วไป
",609/4,1,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,033-002594-5,6000000,7000000,10000000,6000000,29000000,28,6,34,339,3104,774
3096,จ3-64(13)-40/62ชบ,2.02E+13,25922,6413,3,62,บริษัท เคเอ็ม.ไวร์ คัท จำกัด,บริษัท เคเอ็ม.ไวร์ คัท จำกัด,รับจ้างกลึง เจาะ คว้าน กัด ไส เจียร หรือเชื่อมโลหะทั่วไป,700/7,1,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,0,100000,500000,1000000,1600000,8,0,8,163,800,800
3097,จ3-64(13)-42/63ชบ,2.02E+13,25922,6413,3,63,บริษัท แพลนท์ (โมดูล) จำกัด,บริษัท แพลนท์ (โมดูล) จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป และซ่อมแซมรถบรรทุก รถพ่วง รถแทรกเตอร์,โฉนดที่ดินเลขที่ 64075,10,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,120000000,0,6500000,3500000,130000000,25,2,27,446.5,36280,16800
3098,จ3-64(13)-13/64ชบ,2.02E+13,25922,6413,3,64,บริษัท พี.อาร์. ศรีราชาวิศวกรรม จำกัด,บริษัท พี.อาร์. ศรีราชาวิศวกรรม จำกัด,กลึง กัด ไส เจียน และเชื่อมโลหะทั่วไป,577/4,10,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,0,0,0,0,0,4,0,4,310.56,6912,1308
3099,จ3-64(13)-39/64ชบ,2.02E+13,25922,6413,3,64,บริษัท อินเน็กซ์ เคมีคอล จำกัด,บริษัท อินเน็กซ์ เคมีคอล จำกัด,กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,โฉนดที่ดินเลขที่ 17274,6,,,บางพระ,ศรีราชา,20,ชลบุรี,20110,084-7010303,18000000,15000000,10000000,10000000,53000000,14,6,20,266,5268,960
3100,จ3-64(13)-59/60ชบ,2.02E+13,25922,6413,3,60,บริษัท สยามอัลติเมทแวลู จำกัด,บริษัท สยามอัลติเมทแวลู จำกัด,ซ่อมแซมและเชื่อมตะกร้าเหล็กสำหรับใช้ในโรงงานอุตสาหกรรม,930/56,10,,,เขาคันทรง,ศรีราชา,20,ชลบุรี,20110,097-2178825,4000000,4000000,2500000,3000000,13500000,52,10,62,460,12420,2400
3101,จ3-64(13)-68/62ชบ,2.02E+13,25922,6413,3,62,บริษัท เอ็น ดับเบิลยู อี เอ็นจิเนียริ่ง จำกัด,บริษัท เอ็น ดับเบิลยู อี เอ็นจิเนียริ่ง จำกัด,กลึง เจาะ ไส เจียร และเชื่อมโลหะ,180/30,11,,,ทุ่งสุขลา,ศรีราชา,20,ชลบุรี,20230,039-762860,4000000,10000000,20000000,12000000,46000000,39,4,43,251,2600,259
3102,จ3-64(13)-29/52ชบ,2.02E+13,25922,6413,3,52,ห้างหุ้นส่วนจำกัด สายทองเอ็นจิเนียริ่ง เซอร์วิส,ห้างหุ้นส่วนจำกัด สายทองเอ็นจิเนียริ่ง เซอร์วิส,"การกลึง,เจาะ,คว้าน,กัด,ไส,เจียร หรือเชื่อมโลหะทั่วไป",216/17,6,,,บึง,ศรีราชา,20,ชลบุรี,20230,,3000000,1500000,5000000,3000000,12500000,23,6,29,125.5,0,0
3103,จ3-64(13)-46/61ชบ,2.02E+13,25922,6413,3,61,บริษัท บึงทอง เทค จำกัด,บริษัท บึงทอง เทค จำกัด,กลึง เจาะ คว้าน กัด ไส เจียร หรือเชื่อมโลหะทั่วไป ที่ประกอบกิจการเกี่ยวกับอุตสาหกรรมบริการ,28/21,8,,,บึง,ศรีราชา,20,ชลบุรี,20230,"033-641610,084-3620451",6000000,10000000,20000000,2500000,38500000,23,4,27,486.5,8432,756
3104,จ3-64(14)-2/39ชบ,2.02E+13,25939,6414,3,39,บริษัท สยามโกลบอลเอ็นจิเนียริ่ง จำกัด,บริษัท สยามโกลบอลเอ็นจิเนียริ่ง จำกัด,ทำผลิตภัณฑ์โลหะ เช่น แผ่นกั้นคอนกรีตขยายตัว และผลิตส่วนประกอบพัดลมอุตสาหกรรมที่ทำจากโลหะ,111,3,,,บ่อวิน,ศรีราชา,20,ชลบุรี,20230,038-337310-2,0,0,22000000,123600000,145600000,50,14,64,572.3,14400,7100
3105,จ3-64(14)-7/49ชบ,2.02E+13,25939,6414,3,49,บริษัท อินเตอร์เฟส โซลูชั่น จำกัด,บริษัท อินเตอร์เฟส โซลูชั่น จำกัด,ประกอบและทำชิ้นส่วนเครื่องจักรทุกชนิด เช่น เครื่องจักรที่ใช้ในการผลิตยางรถยนต์ ทำโครงสร้างเหล็ก,"693/5,6",1,,,หนองขาม,ศรีราชา,20,ชลบุรี,20230,,0,0,2500000,5000000,7500000,9,1,10,583.5,10218,7104648
3106,จ3-65-2/55ชบ,2.02E+13,28110,6500,3,55,บริษัท เทอร์โบชาร์จจิ้ง ซิสเท็มส์ จำกัด,บริษัท เทอร์โบชาร์จจิ้ง ซิสเท็มส์ จำกัด,ซ่อมแซมเทอร์โบชาร์ทเจอร์และอุปกรณ์ไฟฟ้าของเครื่งอดีเซลโรงงานและเรีอเดินทะเล ประกอบทดสอบ ซ่อมบำรุงตู้คุมเครื่องมือวัดและอุปกรณ์ไฟฟ้า,88/12,7,,สุขุมวิท,ทุ่งสุขลา,ศรีราชา,20,ชลบุรี,20230,38766615,0,0,3000000,1000000,4000000,2,0,2,128.8,1560,1200
3107,จ3-65-8/61ชบ,2.02E+13,28110,6500,3,61,บริษัท อัลฟ่า มารีน เซอร์วิส (ประเทศไทย) จำกัด,บริษัท อัลฟ่า มารีน เซอร์วิส (ประเทศไทย) จำกัด,ซ่อมเครื่องยนต์ เช่น เทอร์โบชาร์ทเจอร์ ฯลฯ,128/9,3,,,บึง,ศรีราชา,20,ชลบุรี,20230,,0,100000,5000000,5000000,10100000,9,0,9,128.8,6520,727
